Strain Name	Virus Species	Virus Genus	Virus Family	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type	Complete Sequence	class_human_host	class_pathogenic	class_intersect
GDS13	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726373	28038	06/15/2012	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
CH/BJ11/2016	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MG546690	28035	11/2016	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
CH/BJ2/2016	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MG546688	28038	02/2016	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
GDS18	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726376	28038	03/24/2014	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
BJ-2011-1	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	JN825712	28038	04/25/2011	Swine	pig	China	genomic RNA	Yes	0	0	0
CH/ZJCX-1/2012	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KF840537	27992	03/04/2012	Swine	swine	China	genomic RNA	Yes	0	0	0
GDS05	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726362	28038	02/08/2012	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
JS-HZ2012	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KC210147	28037	2012	Swine	porcine	China	genomic RNA	Yes	0	0	0
GD-B	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	JX088695	28038	2012	Swine	pig	China	genomic RNA	Yes	0	0	0
GDS20	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726363	28038	06/22/2012	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
PEDV-14	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KM609207	28050	04/2011	Swine	pig	China	genomic RNA	Yes	0	0	0
SHQP/YM/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ196348	28038	02/05/2013	Swine	pig	China	genomic RNA	Yes	0	0	0
BJ-2011-C	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KX066126	28038	11/2011	Swine	pig	China	genomic RNA	Yes	0	0	0
CH/SCCD/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KU975389	28044	11/2014	Swine	pig	China	genomic RNA	Yes	0	0	0
LZW	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ777677	28038	02/2012	Swine	swine	China	genomic RNA	Yes	0	0	0
LZW	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ777678	28038	02/2012	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
LNCT2	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KT323980	28038	09/11/2014	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
JS-2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH910099	28035	01/02/2013	Swine	pig	China	genomic RNA	Yes	0	0	0
CH/JX-1/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KF760557	28052	03/2013	Swine	pig	China	genomic RNA	Yes	0	0	0
CH/JX-2/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ526096	28050	04/2013	Swine	swine	China	genomic RNA	Yes	0	0	0
CH/SXYL/2016	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MF462814	28063	09/10/2016	Swine	porcine	China	genomic RNA	Yes	0	0	0
WHLL	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MN037494	28070	04/18/2017	Swine	porcine	China	genomic RNA	Yes	0	0	0
NW17	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MF782686	28010	2015	Swine	pig	China	genomic RNA	Yes	0	0	0
JSHA2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR818833	28047	-N/A-	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS24	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726366	28038	06/04/2012	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS26	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726367	28038	09/17/2012	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS17	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726364	28038	12/13/2012	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS25	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726365	28038	01/15/2013	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
CH/BJ9/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MG546687	28038	09/2015	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
CHN/SH-2012-5/2012	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MG837011	28038	02/21/2012	Swine	porcine	China	genomic RNA	Yes	0	0	0
GDS22	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726368	28038	09/23/2012	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
ZJU/G2/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KU558701	28038	11/14/2013	Swine	swine	China	genomic RNA	Yes	0	0	0
GDS30	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726369	28038	08/21/2014	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
PEDV-15F	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KM609208	28050	03/2012	Swine	pig	China	genomic RNA	Yes	0	0	0
PEDV-CHZ	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KM609209	28050	03/2013	Swine	pig	China	genomic RNA	Yes	0	0	0
GDS29	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726377	28038	07/11/2014	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS34	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726378	28038	07/28/2014	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS33	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726379	28038	07/28/2014	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
PEDV SH	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK841494	28002	10/2016	Swine	porcine	China	genomic RNA	Yes	0	0	0
PEDV YZ	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK841495	28038	09/2016	Swine	porcine	China	genomic RNA	Yes	0	0	0
PEDV-10F	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KM609206	28050	01/2012	Swine	pig	China	genomic RNA	Yes	0	0	0
FJzz1	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK288006	28035	05/22/2011	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
GDS11	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726374	28038	06/07/2014	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS19	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726375	28038	06/04/2012	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS23	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH107322	28038	11/05/2012	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
AH2012/12	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KU646831	28036	2012	Swine	pig	China	genomic RNA	Yes	0	0	0
AJ1102(F12)	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK584552	28044	05/2011	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
PEDV JS-A	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH748550	28045	11/10/2017	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GD-1	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	JX647847	28047	12/2011	Swine	piglet	China	genomic RNA	Yes	0	0	0
GDS12	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726387	28038	02/10/2011	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS36	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726388	28038	02/10/2011	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS39	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726389	28038	02/10/2011	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GD-A	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	JX112709	28035	02/11/2012	Swine	pig	China	genomic RNA	Yes	0	0	0
GDS01	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KM089829	28047	11/10/2012	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS40	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726390	28038	02/10/2011	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS08	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726385	28038	02/10/2011	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS16	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726386	28038	05/25/2011	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS15	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726391	28038	07/15/2012	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS06	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726384	28038	02/10/2011	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
FJ2011	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH708895	28033	01/18/2011	Swine	piglet	China	genomic RNA	Yes	0	0	0
LW/L	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK392335	28029	02/2010	Swine	pig	China	genomic RNA	Yes	0	0	0
CHGD-01	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	JX261936	28047	02/10/2011	Swine	porcine	China	genomic RNA	Yes	0	0	0
CH/GDGZ/2012	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KF384500	28035	03/2012	Unknown	-N/A-	China	viral cRNA	Yes	0	0	0
PEDV-7C	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KM609204	28050	06/2011	Swine	pig	China	genomic RNA	Yes	0	0	0
AJ1102	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	JX188454	28044	05/2011	Swine	pig	China	genomic RNA	Yes	0	0	0
LC	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	JX489155	28047	02/2011	Swine	porcine	China	genomic RNA	Yes	0	0	0
CH/YNKM-8/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KF761675	28038	09/20/2013	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
YN1	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KT021227	28038	08/02/2013	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
YN144	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KT021232	28028	08/08/2014	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
YN200	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KT021233	28028	11/11/2014	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
YN15	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KT021228	28034	10/05/2013	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
YN30	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KT021229	28028	11/08/2013	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
YN60	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KT021230	28028	02/05/2014	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
YN90	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KT021231	28028	05/10/2014	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
FL2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KP765609	28056	07/2013	Swine	porcine	China	genomic RNA	Yes	0	0	0
GDS44	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726392	28038	07/02/2013	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
GDS14	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH726393	28038	03/10/2011	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
XY2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR818832	28047	02/2013	Swine	Sus scrofa	China	genomic RNA	Yes	0	0	0
ZJCZ4	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	JX524137	28038	04/10/2011	Swine	newborn piglet	China	genomic RNA	Yes	0	0	0
15V010/BEL/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR003452	28028	01/2015	Swine	Sus scrofa	Belgium	genomic RNA	Yes	0	0	0
FR/001/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR011756	28024	12/01/2014	Swine	pig	France	genomic RNA	Yes	0	0	0
PEDV/AUSTRIA/L01062-M10_15-01/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT900502	28008	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/AUSTRIA/L01063-M10_15-02/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898433	28030	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/AUSTRIA/L01064-M10_15-03/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898441	28030	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/AUSTRIA/L01065-M10_15-04/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898418	28030	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L01020-K01_15-10/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898413	28030	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00799-K11_14-01/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT900500	28028	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00998-K06_15-03/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898425	28028	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L01420-K06_15-04/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898444	28030	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L01060-K07_15-02/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898414	28026	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00906-K16_14-01/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898430	28029	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00907-K16_14-02/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT900498	28029	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00908-K16_14-03/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898410	28029	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00933-K22_14-05/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898446	28029	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L01011-K01_15-01/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898432	28029	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L01015-K01_15-05/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898443	28030	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L01012-K01_15-02/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898423	28030	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00927-K20_14-02/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898427	28029	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00932-K22_14-04/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898438	28029	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00928-K20_14-03/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT900501	28029	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00931-K22_14-03/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898440	28029	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00926-K20_4-01/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898415	28029	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L01013-K01_15-03/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898408	28029	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L01014-K01_15-04/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898420	28029	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L01018-K01_15-08/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898411	28030	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L01019-K01_15-09/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898412	28030	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L01017-K01_15-07/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898416	28013	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00855-K14_14-02/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898417	28023	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00857-K14_14-04/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898426	28009	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00999-K06_15-07/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898409	28006	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00918-K17_14-01/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898431	27977	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00919-K17_14-02/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898421	27975	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
GER/L00719/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LM645058	28028	-N/A-	Unknown	-N/A-	Germany	genomic RNA	Yes	0	0	0
GER/L00721/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LM645057	28028	-N/A-	Unknown	-N/A-	Germany	genomic RNA	Yes	0	0	0
PEDV/GER/L00862/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898447	27995	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L01059-K07_15-01/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898439	28030	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L01061-K07_15-03/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT900499	28030	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/GER/L00798-K11_14-02/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898445	28030	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
SLO/JH-11/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KU297956	28028	09/03/2015	Swine	Sus scrofa	Slovenia	genomic RNA	Yes	0	0	0
PEDV/ROMANIA/L01329-K25_15-01/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898436	27981	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
PEDV/ROMANIA/L01330-K25_15-02/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LT898435	28030	-N/A-	Unknown	-N/A-	-N/A-	viral cRNA	Yes	0	0	0
COL/Antioquia/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK071625	28013	04/27/2015	Swine	porcine	Colombia	genomic RNA	Yes	0	0	0
COL/Antioquia00265/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK071619	28016	01/09/2015	Swine	porcine	Colombia	genomic RNA	Yes	0	0	0
COL/Antioquia00958/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK071620	28017	01/29/2015	Swine	porcine	Colombia	genomic RNA	Yes	0	0	0
COL/Antioquia08010/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK071631	28005	01/06/2015	Swine	porcine	Colombia	genomic RNA	Yes	0	0	0
TC Iowa106 (PV39)-P1	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KM392232	28017	12/2013	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/Iowa106/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645695	27989	12/29/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/Iowa107/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645696	27989	12/29/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/Minnesota187/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265759	27984	01/14/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
COL/Antioquia08520/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK071633	28017	07/03/2015	Swine	porcine	Colombia	genomic RNA	Yes	0	0	0
COL/Antioquia09796/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK071635	28018	07/30/2015	Swine	porcine	Colombia	genomic RNA	Yes	0	0	0
COL/ValledelCauca/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK071632	28008	07/01/2017	Swine	porcine	Colombia	genomic RNA	Yes	0	0	0
COL/ValledelCauca08565/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK071634	28018	07/03/2015	Swine	porcine	Colombia	genomic RNA	Yes	0	0	0
COL/Antioquia07053/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK071630	28013	06/03/2015	Swine	porcine	Colombia	genomic RNA	Yes	0	0	0
COL/Cauca/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK071639	28010	05/05/2015	Swine	porcine	Colombia	genomic RNA	Yes	0	0	0
COL/Antioquia09831/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK071636	28019	07/29/2015	Swine	porcine	Colombia	genomic RNA	Yes	0	0	0
COL/Antioquia10641/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK071637	28017	08/11/2015	Swine	porcine	Colombia	genomic RNA	Yes	0	0	0
COL/Antioquia14856/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK071638	27996	10/21/2015	Swine	porcine	Colombia	genomic RNA	Yes	0	0	0
COL/Cundinamarca/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK071626	28019	05/06/2015	Swine	porcine	Colombia	genomic RNA	Yes	0	0	0
USA/IL/2013/59573-5	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KM975740	28029	12/31/2013	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/MO/2014/03293	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KM975741	28029	01/20/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
PEDV/MEX/MICH/02/2015	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH006962	27676	03/20/2015	Swine	swine	Mexico	genomic RNA	Yes	0	0	0
PEDV/MEX/VER/01/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH006960	27676	11/08/2014	Swine	swine	Mexico	genomic RNA	Yes	0	0	0
PEDV/MEX/MICH/19/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MH006958	27676	09/30/2013	Swine	swine; suckling piglet	Mexico	genomic RNA	Yes	0	0	0
USA/Minnesota58/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645655	27989	11/05/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
COL/Cundinamarca03962/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MK071624	28018	03/21/2014	Swine	porcine	Colombia	genomic RNA	Yes	0	0	0
USA/Minnesota52/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645704	27989	06/26/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
UNKNOWN-LQ110721	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LQ110721	27990	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	0	0
UNKNOWN-LQ410514	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LQ410514	27989	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	0	0
USA/Indiana12.83/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645635	27989	06/08/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/IA/2013/19321	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KM975738	28029	05/16/2013	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/IA/2013/20849	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KM975739	28029	05/29/2013	Swine	pig	USA	genomic RNA	Yes	0	0	0
KNU-1406-1	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KM403155	28029	03/2014	Swine	pig	South Korea	genomic RNA	Yes	0	0	0
